ID,LAT,LONG
ABYC1,37.0919,-119.5128
ARNC1,38.28333333,-120.3166667
BCRC1,37.2064,-119.2419
CHVC1,37.96666667,-119.9166667
CMPC1,38.24861111,-120.84
EXQC1,37.585,-120.2672
FDDC1,38.52361111,-120.6938889
FLOC1,37.27388889,-118.96
FRAC1,36.9969,-119.7072
GRVC1,37.81666667,-120.1
HETC1,37.9614,-119.7831
HNTC1,37.2275,-119.2127778
LOSC1,37.0533,-120.8697
MATC1,37.88111111,-119.8438889
MCEC1,37.2858,-120.5117
MDRC1,36.9539,-120.0378
MOD,37.616666,-120.95
MRIC1,37.495,-119.9858
NMDC1,38.00444444,-120.4802778
NOFC1,37.23333333,-119.5
PANC1,36.6,-120.8666667
SCKC1,38,-121.3166667
SONC1,37.98333333,-120.3833333
SPGC1,38.50055556,-120.2144444
TIGC1,38.44611111,-120.4675
TRAC1,37.695,-121.4019444
WSTC1,38.3775,-120.5213889
YNPC1,37.5072,-119.6489
YPQC1,37.75666667,-119.5783333
4LW,42.2139,-120.3636
ADNC1,41.193889,-120.944722
ALTC1,41.493056,-120.552778
AUBC1,38.907222,-121.083889
BLU,39.283333,-120.7
BNYC1,40.911111,-121.660556
BODC1,39.45,-120.65
BRRC1,39.68333333,-121.3333333
BUCC1,39.91666667,-121.3333333
BUKC1,40.8675,-121.8197222
CANC1,40.17055556,-121.0780556
CBYC1,41.42194444,-120.8983333
CHAC1,40,-120.92
CHEC1,40.3,-121.2333333
CHUC1,39.69138889,-121.8122222
CLGC1,39.33333333,-121.1833333
COFC1,39.12166667,-120.9494444
DAVC1,38.53333333,-121.7666667
DESC1,39.86666667,-121.6166667
DUNC1,41.18333333,-122.2597222
DWNC1,39.56666667,-120.8333333
FSTC1,39.00972222,-120.8216667
GEOC1,38.93305556,-120.7991667
GLRC1,39.15333333,-120.8419444
GRAC1,39.20416667,-121.0652778
GREC1,40.13333333,-120.9333333
HATC1,40.93166667,-121.5233333
HLEC1,39.23722222,-121.2666667
HRRC1,40.36666667,-122.9666667
LSPC1,39.31666667,-120.6333333
MCLC1,41.25,-122.1333333
MHS,41.32055556,-122.2919444
MINC1,40.35,-121.6
MNZC1,40.53333333,-121.5666667
NCOC1,38.89,-121.6
NVDC1,39.24805556,-120.9983333
ONDC1,39.75,-122.2
PCHC1,38.75805556,-120.4966667
PLCC1,38.69527778,-120.8094444
PLUC1,39.75,-120.7
PRAC1,39.8,-120.4666667
PRDC1,39.75,-121.6166667
PRPC1,40.98333333,-121.9833333
PTRC1,40.9833333,-121.5108333
QCYC1,39.95,-120.95
RBL,40.15,-122.25
ROMC1,40.8075,-121.9305556
SAC,38.51,-121.5
SERC1,39.58333333,-120.3666667
SHDC1,40.71416667,-122.3838889
SLPC1,38.71666,-120.56666
SMTC1,38.5825,-121.4722222
SODC1,39.31666667,-120.3666667
STOC1,39.58333333,-122.5333333
STYC1,39.56666667,-121.1
TWLC1,38.7086,-120.04
VOLC1,40.45777778,-121.8341667
VTNC1,39.8,-120.1833333
WDDC1,38.68833,-121.79472
WSKC1,40.61083333,-122.505