ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,0.06,0.23,1.22,1.45,M,0.93,M,M,M,M,0.32,0.33,M,,
ADNC1,ADIN,1,1.48,1.58,1.14,1.7,1.79,1.94,0.92,0.47,0.03,0.38,M,M,,
ALTC1,ALTURAS,1.18,0.98,0.78,0.88,0.27,1.58,1.17,1.25,0.9,M,M,M,M,,
AUBC1,AUBURN,2.25,0.57,4.22,7.63,4.17,3.29,5.11,2.26,0.06,0,0,0,29.56,81,81
BLU,BLUE CANYON,M,M,M,M,M,M,M,5.73,M,M,M,M,M,,
BNYC1,BURNEY,2.31,1.24,2.73,6.9,3.57,2.75,3.5,1.38,0.82,0.21,0.8,0.57,26.78,100,100
BODC1,BOWMAN DAM,5.06,2.64,9.31,12.65,7.66,10.2,10.85,6.67,0.9,0,0.02,0,65.96,96,96
BRRC1,BRUSH CREEK RS,3.78,3,5.39,21.3,8.62,8.99,13.05,5.24,M,M,M,M,M,,
BUCC1,BUCKS CREEK,4.93,3.17,6.21,16.31,6.92,7.81,10.38,4.31,0.15,M,0.04,0.05,M,,
BUKC1,BUCKHORN,4.24,4.4,5.88,16.75,8.42,7.42,9.49,4.37,3.29,0,0.6,0.98,65.84,99,99
CANC1,CANYON DAM,2.92,2.4,3.13,9.2,3.14,3.29,4.74,3.17,0.27,0.52,0.36,0.02,33.16,88,88
CBYC1,CANBY 3SW,M,M,M,M,M,M,M,M,M,M,M,M,M,,
CHAC1,CHALLENGE RS,M,M,M,8.63,M,M,9.33,4.07,M,M,M,M,M,,
CHEC1,CHESTER,2.84,2.14,3.98,10.44,4.34,3.39,4.29,1.62,0.08,0.07,0.15,0.1,33.44,101,101
CHUC1,CHICO UNIVERSITY FARM,1.56,1.17,3.56,9.53,4.14,1.74,4.65,1.27,0.06,0,0,M,M,,
CLGC1,COLGATE PH,2.51,2.24,5.84,8.34,4.7,3.48,6.9,2.99,0.03,0,0,0.03,37.06,90,90
COFC1,COLFAX,3.93,1.93,5.55,7.07,5.8,3.78,7.04,3.03,0.05,M,0,0,M,,
DAVC1,DAVIS EXPERIMENTAL FARM,4.09,0.31,2.25,6.61,2.87,1.11,3.23,0.6,0,0.09,M,0.21,M,,
DESC1,DE SABLA,5.97,2.87,9.63,M,9.62,4.89,11.83,3.5,0,M,0.04,0.2,M,,
DUNC1,DUNSMUIR,6.22,3.86,8.92,22.06,11.71,7.36,9.33,3.59,1.66,1.66,0.05,0.87,77.29,125,125
DWNC1,DOWNIEVILLE,5.9,3,8.12,13.74,6.92,8.91,9.47,5.14,0.1,0,0.1,0.04,61.44,98,98
FSTC1,FORESTHILL RS,3.49,2.4,8.37,10.37,8.91,5.86,8.67,4.23,0.12,M,0,0,M,,
GEOC1,GEORGETOWN RS,2.91,2.64,M,7.91,7.96,6.21,10.49,4.82,0.06,0,0,0,M,,
GLRC1,GOLD RUN 2SW,3.71,2.59,7.94,10.98,7.61,6.22,8.8,5,0.22,M,0.04,0.08,M,,
GRAC1,GRASS VALLEY NO. 2,3.14,2.02,6.89,11.23,6.35,4.72,9.08,3.17,0.08,0,0.04,0,46.72,88,88
GREC1,GREENVILLE RS,M,M,M,M,M,M,4.02,2.31,M,M,M,M,M,,
HATC1,HAT CREEK,1.3,1.67,1.8,3.65,1.61,2.26,1.89,M,0.71,0.2,0.99,0.68,M,,
HLEC1,HARRY L ENGLEBRIGHT DAM,2.49,1.7,3.93,8.32,3.32,2.71,7.48,1.84,0,0,0,0,31.79,91,91
HRRC1,HARRISON GULCH RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
LSPC1,LAKE SPAULDING,5.46,2.69,12.91,14.48,7,9.58,12.5,6.58,0.56,0,M,M,M,,
MCLC1,MCCLOUD,6.17,2.59,6.13,18.29,7.85,7.25,5.67,3.14,1.8,0.05,0.25,0.45,59.64,122,122
MHS,MT. SHASTA,4.61,2.11,5.01,15.62,8.03,5.06,7.7,2.65,0.46,0.07,M,M,M,,
MINC1,MINERAL,5.05,2.27,5.43,13.98,6.63,5.61,6.42,3.4,0.72,0.38,0.1,0.38,50.37,90,90
MNZC1,MANZANITA LAKE,1.73,2.91,4.32,6.67,2.77,2.32,7.64,3.53,1.14,0.1,0.66,1.08,34.87,84,84
NCOC1,NICOLAUS,2.27,0.73,1.67,5.14,2.18,1.89,2.11,0.62,0,0,0.01,0.03,16.65,84,84
NVDC1,NEVADA CITY,4.69,2.37,8.74,15.3,8,6.22,12.31,4.09,0.17,0,M,0.05,M,,
ONDC1,ORLAND,2.3,0.63,3.07,9.36,3.92,0.9,3.32,1.17,0,0,0,0.62,25.29,116,116
PCHC1,PACIFIC HOUSE,3.91,1.66,9.07,9.12,5.94,8.32,8.03,7.08,0.08,0,0,0.01,53.22,103,103
PLCC1,PLACERVILLE,2.09,1.51,5.61,7.89,2.76,6.57,6.48,2.92,0.03,0,0,0,35.86,93,93
PLUC1,PLUMAS EUREKA SP,5.5,3.8,7.4,M,M,7,9.4,3.6,0.8,0,0.1,0,M,,
PRAC1,PORTOLA,1.66,1.45,2.71,5,3.12,3.44,2.28,1.05,0.15,0.44,0.08,0,21.38,93,93
PRDC1,PARADISE,2.7,1.89,7.26,18.49,8.58,4.39,10.86,2.28,0.12,0,0.13,0.07,56.77,101,101
PRPC1,PIT RIVER PH5,9.43,3.82,7.74,19.94,11.12,10.86,9.93,4.05,1.98,0,0.65,0.73,80.25,106,106
PTRC1,PIT RIVER PH1,1.1,1.33,1.56,3.08,1.37,1.75,1.95,1.34,0.68,0,0.84,M,M,,
QCYC1,QUINCY,3.68,1.93,4.39,9.67,4.76,4.82,5.49,2.77,0.02,0,0.03,0,37.56,98,98
RBL,RED BLUFF AP,2.23,0.88,2.74,7.79,4.73,0.87,3.6,1.1,0.06,0,0,0.18,24.18,100,100
ROMC1,ROUND MOUNTAIN,4.14,2.79,5.98,M,7.81,5.27,M,M,M,M,M,M,M,,
SAC,SACRAMENTO AP,3.24,0.26,3.64,4.79,2.29,2.98,2.65,M,0,0,M,M,M,,
SERC1,SIERRAVILLE,2.75,0.64,3.82,3.53,2.04,3.48,3.16,1.04,0.31,0.13,0,0,20.9,80,80
SHDC1,SHASTA DAM,8.13,1.36,6.62,21.78,12.02,5.24,10.39,3.8,0.54,0,0.29,0.48,70.65,111,111
SLPC1,SLY PARK,3.19,1.79,9.4,8.71,4.98,6.72,6.16,6.54,0.04,0,0,M,M,,
SMTC1,SACRAMENTO 5 ESE,3.42,0.36,3.16,4.75,2.28,1.95,2.6,0.84,0,0,0,0.05,19.41,98,98
SODC1,SODA SPRINGS,5.08,2.68,8.98,12.32,6.73,9.02,9.53,5.16,1.02,0.04,0.28,0.12,60.96,NA,NA
STOC1,STONY GORGE,2.56,0.69,2.87,9.26,3.95,1.03,4.01,0.68,0.02,0,0.02,0.31,25.4,119,119
STYC1,STRAWBERRY VALLEY,6.1,3.9,9.04,20.47,9.6,8.56,13.02,5.72,0.46,0,0.3,0.03,77.2,96,96
TWLC1,CAPLES LAKE,5.44,1.83,4.95,7.84,4.67,4.38,6.66,3.53,0.16,0.36,M,M,M,,
VOLC1,VOLTA PH,1.78,2.35,4.36,7.69,6.27,3.44,4.39,1.66,0.42,0.09,0.5,0.83,33.78,96,96
VTNC1,VINTON,1.27,0.57,2.16,2.18,2.5,1.21,1.45,0.86,0.1,0.3,0.15,0,12.75,90,90
WDDC1,WOODLAND,3.83,0.43,2.2,7.43,3.29,1.79,3.47,0.68,0,M,0,0.53,M,,
WSKC1,WHISKEYTOWN RES,9.53,1.61,7.29,22.46,14.48,4.69,10.97,6.1,0.96,M,M,0.68,M,,
ABYC1,AUBERRY,2.33,0.31,4.83,6.44,5.19,2.52,4.45,0.6,0,0,M,0,M,,
ARNC1,CALAVERAS BIG TREES,5.84,1.28,8.19,10.2,8.22,3.99,9.71,4.85,0,0,0.02,0,52.3,94,94
BCRC1,BIG CREEK PH #1,5.64,0.36,M,6.79,6.36,2.8,4.95,1.02,M,0,M,0,M,,
CHVC1,CHERRY VALLEY,6.11,0.96,9.51,9.12,7.39,5.68,7.92,3.15,0.01,0,0,0.01,49.86,104,104
CMPC1,CAMP PARDEE,1.55,0.57,3.73,5.68,2.97,2.52,4.8,1.52,0.03,0,0,0,23.37,102,102
EXQC1,EXCHEQUER DAM,1.93,0.53,4.55,5.44,3.68,2.08,5.84,0.53,0.03,0,M,M,M,,
FDDC1,FIDDLETOWN DEXTER RANCH,2.75,1.47,6.47,7.44,4.21,5.99,6.57,4.13,0.01,0,0,0,39.04,105,105
FLOC1,FLORENCE LAKE,3.66,0.63,M,2.41,2.51,1.19,1.85,1.01,M,M,M,0,M,,
FRAC1,FRIANT GOVERNMENT CAMP,1.52,0.16,3.34,2.83,3.57,1.31,2.79,0.31,0,0,0,0,15.83,108,108
GRVC1,GROVELAND RS,M,M,8.46,M,M,M,M,2.2,0,0,M,M,M,,
HETC1,HETCH HETCHY,3.45,0.82,5.68,6.37,5.9,4.61,6.25,3.16,0,0,0.1,0,36.34,100,100
HNTC1,HUNTINGTON LAKE,6.12,0.08,6.24,9.4,8.08,5.32,8.2,2.28,M,0,M,0,M,,
LOSC1,LOS BANOS,1.3,0.34,1.68,2.62,2.06,0.62,2.59,0.18,0.04,0,0,0,11.43,115,115
MATC1,MATHER,4.48,1.16,5.99,6.85,6.09,4.67,6.35,2.32,0,M,0,M,M,,
MCEC1,MERCED,1.71,0.17,2.77,3.18,2.94,0.77,3.67,0.47,0,0,0,0,15.68,125,125
MDRC1,MADERA,0.9,0.15,2.12,2.48,3.26,2.04,2.69,0.15,0,0,0,0,13.79,115,115
MOD,MODESTO AP,1.6,0.17,1.59,3.71,2.86,1.25,2.35,0.84,0.02,0,0,0,14.39,110,110
MRIC1,MARIPOSA RS,7.26,0.57,6.79,6.84,4.93,3.49,4.76,1.14,0,0.01,0,0,35.79,119,119
NMDC1,NEW MELONES DAM HQ,2.35,0.89,4.61,8.01,5.4,3.57,6.16,2.19,0,0,0,0,33.18,NA,NA
NOFC1,NORTH FORK RS,6.59,0.32,7.57,7.95,7.5,3.68,7.6,0.94,0,0,0,0,42.15,124,124
PANC1,PANOCHE 2W,1.51,0.14,1.53,4.36,2.44,0.55,2.17,0.2,0,0,0,0,12.9,122,122
SCKC1,STOCKTON FIRE STA 4,2.22,0.12,1.6,2.62,2.9,1.54,2.77,M,0,M,0,M,M,,
SONC1,SONORA,2.88,1.32,5.47,6.43,5.15,3.66,5.76,1.73,0.11,0,0,0,32.51,99,99
SPGC1,SALT SPRINGS PH,4.69,1.33,6.22,5.78,5.06,5.67,7.66,5.7,0.06,0.01,0.04,M,M,,
TIGC1,TIGER CREEK PH,4.06,1.2,8.03,8.74,5.08,4.84,8.26,4.1,0.03,0,0,M,M,,
TRAC1,TRACY CARBONA,1.5,0.07,M,4.13,1.81,1.24,1.28,0.27,0,0,0,0,M,,
WSTC1,WEST POINT,4.03,1.29,6.91,9.02,5.46,4.74,8.52,3.97,0.08,M,0,0,M,,
YNPC1,SOUTH ENTRANCE YOSEMITE,6.42,0.4,6.83,6.96,6.71,3.39,6.98,2.31,0,0,0,0,40,95,95
YPQC1,YOSEMITE PARK HEADQUARTER,5.87,0.6,8.64,9.31,6.54,2.79,7.46,1.56,0,0,0,0,42.77,113,113