ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY to Date,Pct Avg to Date,Pct Tot WY
ABYC1,AUBERRY,1.69,1.37,0,4.64,1.32,4.92,3.73,0,0.07,0,M,0,M,,
ARNC1,CALAVERAS BIG TREES,3.88,1.82,0.02,8.58,3.16,9.28,5.11,0.3,1.34,0,0,0.21,33.7,61,61
BCRC1,BIG CREEK PH #1,M,1.18,0,M,M,4.11,4.05,0.15,M,M,M,M,M,,
CHVC1,CHERRY VALLEY,3.12,1.77,0,9.54,2.68,7.22,6.06,0.24,0.95,0.06,0.2,0.15,31.99,67,67
CMPC1,CAMP PARDEE,2.08,0.87,0.06,2.68,1.34,6.1,4.37,0.07,0.31,0.03,M,0.13,M,,
EXQC1,EXCHEQUER DAM,1.21,0.73,0,2.47,1.03,4.47,3.62,0,0.27,0.01,0,0.08,13.89,70,70
FDDC1,FIDDLETOWN DEXTER RANCH,2.85,1.89,0.1,4.31,1.79,9.28,6.8,0.07,0.44,0.37,0,0.29,28.19,76,76
FLOC1,FLORENCE LAKE,1.94,1.69,0,2.98,0.66,3.88,1.18,0.13,M,0,M,M,M,,
FRAC1,FRIANT GOVERNMENT CAMP,1.26,1.07,0,1.25,0.78,3.17,2.04,0.01,0,0,0.02,0,9.6,65,65
GRVC1,GROVELAND RS,M,M,0,M,1.68,M,4.48,M,M,M,M,M,M,,
HETC1,HETCH HETCHY,2.34,1.82,0,5.48,1.26,5.44,4.16,0.04,0.79,0,0.15,0,21.48,59,59
HNTC1,HUNTINGTON LAKE,M,0.88,0,5.32,M,6.76,4.92,0.24,0.24,0,1.23,0,M,,
LOSC1,LOS BANOS,0.64,0.88,0.12,0.33,0.1,1.54,0.9,0,0.26,0,0,0.03,4.8,48,48
MATC1,MATHER,M,M,M,M,M,M,M,M,M,M,M,M,M,,
MCEC1,MERCED,1.07,1.06,0.1,0.87,0.65,1.89,M,0.02,0.5,0,0,0.04,M,,
MDRC1,MADERA,0.72,0.89,0.08,0.86,0.46,M,2.61,0,0.12,0,0,0,M,,
MOD,MODESTO AP,1,0.74,0.16,0.94,0.75,2.62,2.25,0.19,0.1,0,0,0,8.75,67,67
MRIC1,MARIPOSA RS,M,M,0,1.01,0.91,0.6,4.9,0,M,M,M,M,M,,
NMDC1,NEW MELONES DAM HQ,2.62,3,0.08,4.04,1.99,6.18,4.19,0.03,0.41,0.1,0,0.3,22.94,NA,NA
NOFC1,NORTH FORK RS,3.08,2.2,0,6.23,1.47,5.66,4.55,0,0,0,0,0,23.19,68,68
PANC1,PANOCHE 2W,0.52,0.89,0.2,1.19,0.55,2.57,1.14,0,M,0,M,0,M,,
SCKC1,STOCKTON FIRE STA 4,0.9,1.1,0.1,1.33,0.33,2.85,1.82,0,0,0,0,0,8.43,51,51
SONC1,SONORA,2.1,1.12,0.9,4.76,1.45,5.83,4.96,0,0.44,0.02,0.02,0.04,21.64,66,66
SPGC1,SALT SPRINGS PH,3.42,1.53,0.04,6.77,2.05,9.79,4.97,0.71,1.08,0.02,0.04,0.19,30.61,66,66
TIGC1,TIGER CREEK PH,2.97,1.62,0.03,6.79,2.9,9.92,5.77,0.44,1.31,0.02,0.03,0.09,31.89,69,69
TRAC1,TRACY CARBONA,1.02,M,M,0.77,0.4,1.83,1.73,0,M,0,0,M,M,,
WSTC1,WEST POINT,2.82,M,0,6.79,3.07,11.07,5.39,0.39,0.83,0.01,0,0.13,M,,
YNPC1,SOUTH ENTRANCE YOSEMITE,2.21,1.27,0,4.43,1.34,5.06,2.17,0.06,0.4,0.07,0,0,17.01,40,40
YPQC1,YOSEMITE PARK HEADQUARTER,2.8,1.07,0,5.11,0.9,5.97,4.45,0.33,0.67,0.01,0.06,0,21.37,57,57